,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
330,leningradskiy,21,RU,1578449797,88,69.38,178.42,245.57,4.35
331,yerbogachen,99,RU,1578449525,94,61.28,108.01,259.56,3.83
332,izhma,85,RU,1578449797,94,65.01,53.91,261.37,3.43
333,bosconia,67,CO,1578449798,69,9.97,-73.89,298.86,1.27
334,cabo san lucas,20,MX,1578449713,82,22.89,-109.91,293.15,1.35
335,diffa,0,NE,1578449798,23,13.32,12.61,291.93,4.96
336,navrongo,14,GH,1578449798,28,10.89,-1.09,296.53,3.86
337,alzamay,100,RU,1578449798,93,55.55,98.67,262.48,2.27
338,kurchum,75,KZ,1578449799,86,48.57,83.65,256.79,0.66
339,saint-francois,90,FR,1578449799,87,46.42,3.91,280.15,1.5
340,tilichiki,100,RU,1578449202,88,60.47,166.1,257.83,4.14
341,esperance,0,AU,1578449230,61,-33.86,121.89,298.15,5.1
342,calbuco,90,CL,1578449800,93,-41.77,-73.13,284.15,3.1
343,shubarshi,100,KZ,1578449800,95,48.59,57.19,261.79,2.38
344,cockburn town,1,TC,1578449574,79,21.46,-71.14,298.95,5.68
345,vardo,1,US,1578449682,85,39.62,-77.74,272.59,2.1
346,lichinga,85,MZ,1578449801,94,-13.3,35.25,291.2,1.45
347,moranbah,90,AU,1578449801,26,-22.0,148.04,307.75,6.6
348,jablah,75,SY,1578449801,76,35.36,35.93,284.15,8.2
349,santa isabel,20,MX,1578449802,23,32.63,-115.58,292.15,1.25
350,port-gentil,63,GA,1578449802,80,-0.72,8.78,300.54,3.35
351,rognan,75,NO,1578449802,70,67.1,15.4,280.15,8.2
352,pochutla,5,MX,1578449233,65,15.74,-96.47,299.15,3.1
353,tazovskiy,92,RU,1578449802,94,67.47,78.7,259.19,5.27
354,shimoda,75,JP,1578449248,100,34.7,138.93,290.15,6.7
355,viedma,0,AR,1578449690,19,-40.81,-62.99,298.58,7.79
356,srednekolymsk,64,RU,1578449803,97,67.46,153.71,241.83,2.47
357,solnechnyy,0,RU,1578449803,83,50.72,136.64,261.15,0.98
358,novyy urengoy,22,RU,1578449254,96,66.08,76.63,252.61,4.13
359,wattegama,26,LK,1578449803,73,7.35,80.68,298.3,2.35
360,kokemaki,90,FI,1578449804,86,61.26,22.36,278.15,7.7
361,gangtok,93,IN,1578449804,69,27.33,88.61,278.87,1.25
362,ostrovnoy,100,RU,1578449698,92,68.05,39.51,274.68,9.06
363,maralal,100,KE,1578449804,82,1.1,36.7,290.33,4.12
364,hualmay,25,PE,1578449804,88,-11.1,-77.61,292.39,1.27
365,north myrtle beach,1,US,1578449805,81,33.83,-78.68,283.15,2.21
366,kilkis,0,GR,1578449805,73,40.99,22.87,275.37,1.5
367,mumford,26,GH,1578449805,80,5.26,-0.76,296.09,1.44
368,hithadhoo,94,MV,1578449805,76,-0.6,73.08,301.36,5.55
369,indija,100,LT,1578449806,91,55.45,22.23,274.31,4.63
370,puksoozero,100,RU,1578449806,98,62.59,40.61,274.35,4.83
371,marawi,99,PH,1578449806,69,8.0,124.29,300.93,2.24
372,zhezkazgan,90,KZ,1578449806,92,47.8,67.71,262.15,1.0
373,nanortalik,100,GL,1578449806,69,60.14,-45.24,272.09,16.01
374,waingapu,91,ID,1578449807,75,-9.65,120.26,301.73,8.48
375,oriximina,75,BR,1578449807,76,-1.77,-55.87,299.82,3.8
376,coolum beach,1,AU,1578449807,48,-26.53,153.09,307.04,0.89
377,halkirk,100,CA,1578449807,88,52.28,-112.15,262.59,7.15
378,san andres,100,PH,1578449807,65,13.32,122.68,302.08,4.03
379,umm lajj,0,SA,1578449808,56,25.02,37.27,285.09,2.07
380,the valley,0,AI,1578449704,88,18.22,-63.06,298.71,5.1
381,kabarnet,100,KE,1578449808,95,0.5,35.74,286.56,3.52
